N_Ser,N_Par,Irradiation,Temperature,Current,Voltage,Label
9,10,10,75,0.5814351195,216.33,3
9,10,10,85,0.579120552,198.42,3
9,10,110,5,6.37947149,379.11,3
9,10,110,15,6.40463517,362.64,3
9,10,110,25,6.427396347,346.05,3
9,10,110,35,6.447220554,329.37,3
9,10,110,45,6.46350716,312.63,3
9,10,110,55,6.476216752,295.83,3
9,10,110,65,6.48464478,279,3
9,10,110,75,6.487524028,262.1870362,3
9,10,110,85,6.484300325,245.4,3
9,10,210,5,12.17975145,388.29,3
9,10,210,15,12.23056255,372.15,3
9,10,210,25,12.27614799,355.92,3
9,10,210,35,12.31755806,339.57,3
9,10,210,45,12.35157892,323.19,3
9,10,210,55,12.37991732,306.7319807,3
9,10,210,65,12.40167247,290.22,3
9,10,210,75,12.41252225,273.75,3
9,10,210,85,12.41520495,257.25,3
9,10,310,5,17.97470388,393.4332838,3
9,10,310,15,18.05128912,377.49,3
9,10,310,25,18.12129402,361.44,3
9,10,310,35,18.18394685,345.3,3
9,10,310,45,18.23770196,329.1,3
9,10,310,55,18.2825279,312.84,3
9,10,310,65,18.3166188,296.55,3
9,10,310,75,18.339781,280.23,3
9,10,310,85,18.34670193,263.9542623,3
9,10,410,5,23.76220383,396.87,3
9,10,410,15,23.86646189,381.03,3
9,10,410,25,23.95937662,365.13,3
9,10,410,35,24.04483412,349.11,3
9,10,410,45,24.11939661,333.0243693,3
9,10,410,55,24.18185602,316.89,3
9,10,410,65,24.23113582,300.72,3
9,10,410,75,24.26408177,284.55,3
9,10,410,85,24.27738574,268.41,3
9,10,510,5,29.54555964,399.3,3
9,10,510,15,29.67331293,383.5937684,3
9,10,510,25,29.79405101,367.74,3
9,10,510,35,29.89993224,351.84,3
9,10,510,45,29.99530404,335.8424022,3
9,10,510,55,30.07577926,319.8,3
9,10,510,65,30.13764457,303.75,3
9,10,510,75,30.18268918,287.67,3
9,10,510,85,30.20410141,271.62,3
9,10,610,5,35.31840079,401.16,3
9,10,610,15,35.47422859,385.5,3
9,10,610,25,35.61946476,369.72,3
9,10,610,35,35.74866279,353.88,3
9,10,610,45,35.86499986,337.95,3
9,10,610,55,35.96108809,322.0018044,3
9,10,610,65,36.04065595,306,3
9,10,610,75,36.09211927,290.04,3
9,10,610,85,36.12330915,274.05,3
9,10,710,5,41.08850504,402.54,3
9,10,710,15,41.27007052,386.94,3
9,10,710,25,41.43953901,371.22,3
9,10,710,35,41.59207963,355.428,3
9,10,710,45,41.72722658,339.57,3
9,10,710,55,41.8422281,323.67,3
9,10,710,65,41.93548216,307.74,3
9,10,710,75,41.99823322,291.84,3
9,10,710,85,42.03482257,275.9314775,3
9,10,810,5,46.84656846,403.65,3
9,10,810,15,47.0592307,388.05,3
9,10,810,25,47.25124916,372.39,3
9,10,810,35,47.43054595,356.61,3
9,10,810,45,47.58587306,340.8,3
9,10,810,55,47.7169815,324.96,3
9,10,810,65,47.82369681,309.09,3
9,10,810,75,47.89814908,293.2376471,3
9,10,810,85,47.93780062,277.41,3
9,10,910,5,52.60392659,404.46,3
9,10,910,15,52.83971163,388.92,3
9,10,910,25,53.06086898,373.26,3
9,10,910,35,53.25967958,357.54,3
9,10,910,45,53.43643185,341.76,3
9,10,910,55,53.58667754,325.95,3
9,10,910,65,53.70512477,310.14,3
9,10,910,75,53.79091578,294.33,3
9,10,910,85,53.83737984,278.55,3
9,10,1010,5,58.34845971,405.12,3
9,10,1010,15,58.61415227,389.58,3
9,10,1010,25,58.85961361,373.95,3
9,10,1010,35,59.08071238,358.26,3
9,10,1010,45,59.27785773,342.51,3
9,10,1010,55,59.44620753,326.73,3
9,10,1010,65,59.57999194,310.95,3
9,10,1010,75,59.67720503,295.1757141,3
9,10,1010,85,59.72763551,279.45,3
9,10,1110,5,64.09340249,405.57,3
9,10,1110,15,64.38405196,390.06,3
9,10,1110,25,64.65685863,374.4362698,3
9,10,1110,35,64.90051777,358.77,3
9,10,1110,45,65.11726263,343.05,3
9,10,1110,55,65.29695926,327.33,3
9,10,1110,65,65.44501625,311.58,3
9,10,1110,75,65.54824453,295.86,3
